exact_ln_ratio,signed_pred_true_phi,squared_Ldyn_over_lambda,force_rmse,signed_pred_model_phi,max_abs_dV
-3.305529117479163743e-03,-3.315033665744351356e-03,3.223062843373101227e+00,1.000000000000000194e-01,-3.296241080145566067e-03,5.549667949447297660e-02
-1.408375964461164830e-02,-1.415990978079601295e-02,8.900844620927481077e-02,9.999999999999999167e-02,-1.400715364507513876e-02,3.652094683563606586e-02
1.809511245440285042e-03,1.894738519106525972e-03,1.181150601055821170e+01,1.000000000000000056e-01,1.723231993558981814e-03,3.172710517200073160e-02
-2.310788251227115578e-02,-2.311926247706968737e-02,5.300659270112111798e+00,9.999999999999997780e-02,-2.309723901690253697e-02,2.826730046928859277e-02
7.541403963137301375e-04,7.780841603025659935e-04,5.871768820706150471e+00,1.000000000000000056e-01,7.299866484499949399e-04,1.374629807745092122e-02
1.430387713850310265e-02,1.434929085422562145e-02,1.327544286932441508e+01,1.000000000000000056e-01,1.425793411136616791e-02,2.444960041314871504e-02
3.563481084288616738e-03,3.579758889647618320e-03,1.016150517525655239e+01,1.000000000000000194e-01,3.547022882919543402e-03,2.064936494698314459e-02
3.601932429484782094e-01,5.313902814307436273e-01,5.351080425339624753e+02,1.000000000000000333e-01,2.373543917705378259e-01,2.200511593443002845e+00
-2.641277976142828582e-02,-2.717797970942928756e-02,5.404759731262005928e+00,9.999999999999999167e-02,-2.564830473316552506e-02,7.784416952000940138e-02
-5.861499930540479270e-02,-6.090510053699271092e-02,5.714687604854035818e+00,9.999999999999999167e-02,-5.632598666813456306e-02,1.478264971648681758e-01
2.447146013412834775e-02,2.490739870180772725e-02,1.817794868619098736e+01,1.000000000000000056e-01,2.403950827551177769e-02,1.321707781952270733e-01
3.696594908683932881e-04,3.813580035088765560e-04,4.042250605361025428e+00,1.000000000000000056e-01,3.572884540488291188e-04,9.957740091955215658e-03
-4.701772881202317825e-04,-3.728338170693320467e-04,2.507605746882231657e+01,1.000000000000000056e-01,-5.683563747102197798e-04,3.200631053995000447e-02
1.996716993007387544e-02,2.006636692862763527e-02,1.226506743256244292e+01,1.000000000000000056e-01,1.986945878203158489e-02,9.817178200586644532e-02
-1.709531314128085334e-03,-1.634668709293766444e-03,8.839085374411087770e+00,9.999999999999999167e-02,-1.785126726628470878e-03,3.065312338451098989e-02
-2.923119502632270245e-02,-2.926069735104584388e-02,4.028139360409959124e+00,1.000000000000000056e-01,-2.920194593378586112e-02,4.897634261547881979e-02
-1.243809007601657038e-02,-1.245548576527931786e-02,6.063209894589497440e-01,9.999999999999999167e-02,-1.242134589890274941e-02,3.609092685244321558e-02
1.505501695550593572e-02,2.207410396991921903e-02,2.282401231887519089e+02,1.000000000000000056e-01,8.441698135406409259e-03,3.487210796451747363e-01
-8.349197856772006682e-03,-8.296963595291957302e-03,3.588296920362501918e+00,1.000000000000000056e-01,-8.401443713961230172e-03,9.521449668966892876e-02
-2.547003839554887877e-02,-2.570659369611934600e-02,7.928608351524916387e+00,9.999999999999997780e-02,-2.523425962671897727e-02,7.444524488227241554e-02
9.611677871139541474e-03,2.355798371403385397e-02,2.596607221396733962e+02,1.000000000000000056e-01,-3.459479410512566761e-03,5.460083016689496471e-01
-1.359267393398059902e-02,-1.363734912656435275e-02,2.458722366992038832e+00,1.000000000000000056e-01,-1.354793437511365994e-02,3.832340489638492997e-02
9.991291514362210611e-04,-3.101836481070109923e-04,1.293238116219809442e+01,1.000000000000000056e-01,2.309989908859588423e-03,1.398876756471133798e-01
7.071852825224145961e-03,7.084512976880251445e-03,4.292012009874384582e+00,1.000000000000000056e-01,7.058826155824052262e-03,1.412672452722286802e-02
-6.172707392483221204e-04,-5.658366729239960478e-04,1.309257058193086687e+00,1.000000000000000056e-01,-6.698675696180165888e-04,2.965731832772765947e-02
-6.382358593130217986e-03,-6.329852903559661514e-03,3.188972002868100120e+00,1.000000000000000056e-01,-6.435210555662192709e-03,3.677794205700003066e-02
1.330456650364767249e-02,1.331786235575621591e-02,8.883949215646059772e-01,9.999999999999999167e-02,1.329089518005969507e-02,1.625847218933152913e-02
1.272575964687422401e-01,1.310487470152605360e-01,7.733215102392733797e+01,9.999999999999999167e-02,1.233691433615455441e-01,2.281246169621583275e-01
-4.191587511680391898e-02,-4.281715424581949286e-02,8.983817494261975289e-01,1.000000000000000056e-01,-4.101415528927523924e-02,9.508012060384521402e-02
-1.419043310645810548e-03,-1.368929858036130711e-03,6.238122510442874358e+00,1.000000000000000056e-01,-1.470229805186471948e-03,2.091379025860172838e-02
5.937961769704207249e-02,5.923034058931838514e-02,1.937318311900633816e+01,9.999999999999999167e-02,5.952292177573430959e-02,8.346382204200208932e-02
1.267516133559779268e-01,1.229609803464374457e-01,1.744454645735800113e+01,9.999999999999999167e-02,1.305227310752557213e-01,1.715132760157026814e-01
