B,eps_target,eps_hat,ln_nu_ratio,h,bound,h_over_bound,lin_ratio
12,0.1,0.101378,-0.0331883,0.000538697,40.0632,1.34462e-05,0.00370764
12,0.1,0.101062,0.0435489,0.000976237,39.8138,2.452e-05,0.00488028
12,0.1,0.102471,-0.0568319,0.00155503,40.9317,3.79908e-05,0.00628126
12,0.1,0.101175,-0.0726768,0.00251642,39.9029,6.30636e-05,0.00813539
12,0.1,0.099998,-0.00665924,2.20746e-05,38.9798,5.66308e-07,0.000754206
12,0.1,0.0999698,-0.00990076,4.86902e-05,38.9579,1.24982e-06,0.00112165
12,0.1,0.0999066,0.00239546,2.87371e-06,38.9086,7.38578e-08,0.000271551
12,0.1,0.101829,0.00219518,2.41294e-06,40.4207,5.96956e-08,0.000244148
12,0.1,0.0987368,0.0398731,0.000816382,38.0028,2.14821e-05,0.00457359
12,0.1,0.100942,-0.144181,0.009447,39.7191,0.000237845,0.0161768
12,0.1,0.0994166,0.076301,0.00306331,38.5279,7.9509e-05,0.00869216
12,0.1,0.102057,-0.152226,0.0104751,40.6017,0.000257996,0.0168929
12,0.1,0.100651,0.0275933,0.00038777,39.4907,9.81926e-06,0.00310485
12,0.1,0.100141,0.00463772,1.07875e-05,39.0913,2.75957e-07,0.000524505
12,0.3,0.303269,-0.0282278,0.000390985,358.52,1.09055e-06,0.00105416
12,0.3,0.299944,0.0123333,7.66835e-05,350.702,2.18657e-07,0.000465688
12,0.3,0.304913,-0.0982653,0.00452311,362.417,1.24804e-05,0.0036499
12,0.3,0.297794,0.00370027,6.86292e-06,345.691,1.98527e-08,0.000140726
12,0.3,0.292841,-0.0952535,0.00425856,334.287,1.27392e-05,0.00368388
12,0.3,0.297734,0.00367084,6.75404e-06,345.554,1.95456e-08,0.000139634
12,0.3,0.315798,-0.420594,0.0671575,388.755,0.00017275,0.0150838
12,0.3,0.309341,0.118059,0.00754257,373.02,2.02203e-05,0.00432234
